name,address,phone,email,lat,lon,url,country,state,city,star_count,rating_count,zip,primary_category_name,category_name,Facebook Profile,Instagram Handle,Twitter,WhatsApp
Mangwa Valley Game Lodge,"De Wagendrift, Pretoria, 1000, South Africa",+27 12 711 4348,info@mangwavalley.co.za,-25.3826647,28.4614884,http://www.mangwavalley.co.za/,South Africa,Gauteng,Pretoria,4.3,69,1000,Tourist attractions,"Lodgings,Tourist attractions",https://www.facebook.com/sharer/sharer.php?app_id=205541306225909&display=page&u=https%3A%2F%2Fwww.mangwavalley.co.za%2F&redirect_uri=https%3A%2F%2Fadmin.springnest.com%2Ffbsr%2F946%2F26638%2F,https://instagram.com/@mangwavalleygamelodge,https://twitter.com/share?url=https%3A%2F%2Fwww.mangwavalley.co.za/&related=springnest&text=Mangwa%20Valley%20Game%20Lodge%20%26%20Spa%20Home,https://wa.me/?text=Home%0A%0Ahttps%3A%2F%2Fwww.mangwavalley.co.za%2F
Wild 5 Adventures,"Oribi Gorge, Izinqolweni, Port Shepstone, 4240, South Africa",+27 82 566 7424,info@wild5adventures.co.za,-30.669015,30.304571,http://www.wild5adventures.co.za/,South Africa,KwaZulu-Natal,Port Shepstone,4.6,1195,4240,Tourist attractions,"Adventure sports,Hiking areas,Tourist attractions",https://www.facebook.com/wild5adventures,https://instagram.com/wild5adventures/,https://twitter.com/wild5adventures,https://wa.me/27825667424
Sundays River Adventures,"Colchester, Gqeberha, South Africa",+27 67 412 9992,book@sundaze.co.za,-33.6909216,25.8284541,http://www.sundaze.co.za/,South Africa,Eastern Cape,Port Elizabeth,5,1,201,Tourist attractions,Tourist attractions,https://www.facebook.com/Sundaze.co.za,https://www.instagram.com/sundaysriveradventures/?hl=en,https://twitter.com/SundaysRiverAdv,https://wa.me/+27674129992
Umdende Safaris,"Grootgeluk Farm, 3100, South Africa",+27 83 407 9899,umdende@umdende.co.za,-27.687901,30.791843,http://www.umdende.com/,South Africa,KwaZulu-Natal,Durban,5,25,3100,Tourist attractions,"Tour operators,Scoutings,Hunting areas,Tourist attractions",https://www.facebook.com/UmdendeSafaris/,https://www.instagram.com/umdendesafaris/,https://twitter.com/Umdende_Safaris,https://wa.me/27837932860
Cape Canopy Tour,"Forestry Rd, Grabouw, 7160, South Africa",+27 21 300 0501,zipline@capecanopytour.co.za,-34.0709019,19.0495466,http://www.capecanopytour.co.za/,South Africa,Western Cape,Cape Town,4.9,1010,7160,Tourist attractions,"Hiking areas,Tourist attractions",https://www.facebook.com/CanopyTourSA/,https://www.instagram.com/canopytoursa/,https://twitter.com/canopytoursa,https://wa.me/0637348395
Honeyguide Mantobeni Camp,"Manyeleti Private Game Reserve, Orpen Gate, 1364, South Africa",+27 21 424 3122,reservations@honeyguidecamp.com,-24.5398894,31.3999967,https://honeyguidecamp.com/mantobeni-camp/,South Africa,Mpumalanga,Mpumalanga,4.8,90,1364,Tourist attractions,"Tourist attractions,Lodges",https://www.facebook.com/sharer/sharer.php?app_id=205541306225909&display=page&u=https%3A%2F%2Fwww.honeyguidecamp.com%2Fhoneyguide-mantobeni-camp%2F&redirect_uri=https%3A%2F%2Fadmin.springnest.com%2Ffbsr%2F1408%2F42254%2F,https://instagram.com/honeyguidecamps,https://twitter.com/share?url=https%3A%2F%2Fwww.honeyguidecamp.com/honeyguide-mantobeni-camp/&related=springnest&text=Honeyguide%20Tented%20Safari%20Camps%20Honeyguide%20Mantobeni%20Camp,https://wa.me/?text=Honeyguide%20Mantobeni%20Camp%0A%0Ahttps%3A%2F%2Fwww.honeyguidecamp.com%2Fhoneyguide-mantobeni-camp%2F
Oudtshoorn,"Oudtshoorn, 6620, South Africa",+27 44 279 2532,enquiries@oudtshoorn.com,-33.5930588,22.2029669,http://www.oudtshoorn.com/,South Africa,Western Cape,Oudtshoorn,4.4,1504,200,Tourist attractions,Tourist attractions,https://www.facebook.com/Oudtshoorn.Tourism/,https://www.instagram.com/oudtshoorn_derust_tourism/,https://twitter.com/visitoudtshoorn,https://wa.me/+27716869795
Magalies Canopy Tours,"Rosewood Functions, Part of 84 of the Farm, Rietfontein, Rustenburg, 0300, South Africa",+27 14 535 0150,mark@canopytour.co.za,-25.8300675,27.4085595,http://www.canopytour.co.za/,South Africa,North West,Rustenburg,4.7,974,300,Tourist attractions,"Outdoor activities,Tourist attractions",https://www.facebook.com/CanopyTourSA/,https://www.instagram.com/canopytoursa/,https://twitter.com/canopytoursa,https://wa.me/0637348395
Point of Human Origins,"Pinnacle Point, Mossel Bay, 6511, South Africa",+27 79 640 0004,info@humanorigin.co.za,-34.2055108,22.0899279,https://www.humanorigin.co.za/collections/human-origins-tours/,South Africa,Western Cape,Mossel Bay,4.6,587,6511,Tourist attractions,"Hiking areas,Tourist attractions",https://www.facebook.com/sharer/sharer.php?app_id=205541306225909&display=page&u=https%3A%2F%2Fwww.humanorigin.co.za%2Fcollections%2Fhuman-origins-tours%2F&redirect_uri=https%3A%2F%2Fadmin.springnest.com%2Ffbsr%2F17%2F18037%2F,https://instagram.com/pointofhumanorigin,https://twitter.com/share?url=https%3A%2F%2Fwww.humanorigin.co.za/collections/human-origins-tours/&related=springnest&text=Point%20of%20Human%20Origins%20Point%20of%20Human%20Origins%20Tours,https://wa.me/?text=Point%20of%20Human%20Origins%20Tours%0A%0Ahttps%3A%2F%2Fwww.humanorigin.co.za%2Fcollections%2Fhuman-origins-tours%2F
Shark Cage Diving KZN,"No 1 Old Main Road, Rocky Bay Park Rynie, Durban, 4182, South Africa",+27 82 670 6950,lodge@rockybay.co.za,-30.3352297,30.7336898,https://www.sharkcagedivingkzn.com/,South Africa,KwaZulu-Natal,Scottburgh,4.8,265,4182,Tourist attractions,"Tour operators,Boat tour agencies,Adventure sports,Diving centers,SCUBA tour agencies,Tourist attractions",https://www.facebook.com/sharkcagedivingkzn/,https://www.instagram.com/sharkcagedivingkzn/,https://twitter.com/CageDive,https://wa.me/27826706950?text=I'd like to enquire about booking Shark Cage Diving
